time,open,high,low,close,volume
2025-09-11 04:00:00,501.1000,501.5000,500.3500,501.3400,7399
2025-09-11 04:30:00,501.3400,501.3800,500.9600,501.0000,3405
2025-09-11 05:00:00,500.9700,501.8800,500.9000,501.8500,8192
2025-09-11 05:30:00,501.8200,502.0000,501.4200,501.6800,4978
2025-09-11 06:00:00,501.6900,503.2000,501.6900,502.5100,9269
2025-09-11 06:30:00,502.4000,502.6000,502.2300,502.5100,3556
2025-09-11 07:00:00,502.4600,502.5500,502.0900,502.2700,7267
2025-09-11 07:30:00,502.1500,502.2300,501.7500,502.0000,5021
2025-09-11 08:00:00,501.7500,503.3792,500.1352,501.6011,38473
2025-09-11 08:30:00,501.7500,502.9200,500.3200,502.5000,55141
2025-09-11 09:00:00,502.5000,503.8800,478.0400,502.1700,47955
2025-09-11 09:30:00,502.2500,502.8000,497.8800,500.2950,2117240
2025-09-11 10:00:00,500.2500,502.4400,499.8300,502.2400,1292780
2025-09-11 10:30:00,502.2200,503.1700,500.2200,500.8600,994494
2025-09-11 11:00:00,500.8550,502.8200,500.8100,502.7900,687316
2025-09-11 11:30:00,502.6800,502.9800,500.8600,502.0050,570669
2025-09-11 12:00:00,501.9600,503.1300,501.7820,502.2800,602833
2025-09-11 12:30:00,502.3500,502.7199,500.8300,501.1050,621219
2025-09-11 13:00:00,501.1200,501.3800,500.1000,500.1500,800323
2025-09-11 13:30:00,500.1450,500.8192,499.8100,500.0300,649772
2025-09-11 14:00:00,500.0600,500.7175,499.6700,499.9800,754586
2025-09-11 14:30:00,500.0000,501.2000,499.9500,500.7100,881523
2025-09-11 15:00:00,500.7200,500.8900,500.4000,500.8000,730320
2025-09-11 15:30:00,500.8000,502.2600,500.1300,501.2000,2289010
2025-09-11 16:00:00,500.9000,502.0700,500.2000,501.2000,8481290
2025-09-11 16:30:00,501.2000,513.9225,479.8598,501.0900,45586
2025-09-11 17:00:00,501.1700,501.5000,501.0000,501.3000,5478
2025-09-11 17:30:00,501.4000,514.9500,501.0100,513.7300,538080
2025-09-11 18:00:00,513.7100,513.9000,509.0700,509.8500,198231
2025-09-11 18:30:00,509.7500,510.0000,508.5000,508.6750,63915
2025-09-11 19:00:00,508.6750,509.9800,508.5100,509.6400,41875
2025-09-11 19:30:00,509.8000,510.0000,509.2000,510.0000,48277
2025-09-12 04:00:00,508.5900,510.2000,507.0000,508.0400,24255
2025-09-12 04:30:00,508.0100,508.7700,507.8400,508.7100,10470
2025-09-12 05:00:00,508.6400,508.9800,508.2200,508.3900,13967
2025-09-12 05:30:00,508.4300,508.4800,508.0000,508.0700,6173
2025-09-12 06:00:00,508.0600,508.6600,507.7800,507.9000,14874
2025-09-12 06:30:00,507.9200,507.9800,507.3900,507.6100,7170
2025-09-12 07:00:00,507.7500,507.9300,504.4600,506.8100,49377
2025-09-12 07:30:00,506.8000,507.4000,506.1400,506.3900,25269
2025-09-12 08:00:00,508.3000,510.3900,501.0100,507.6600,412403
2025-09-12 08:30:00,507.4200,508.0000,507.0000,507.2500,40837
2025-09-12 09:00:00,507.4000,507.9900,505.0000,506.5100,84563
2025-09-12 09:30:00,506.6500,508.1100,503.8500,508.0500,3019657
2025-09-12 10:00:00,507.8600,508.3900,506.5100,507.1400,1501089
2025-09-12 10:30:00,507.2000,509.2900,507.1400,509.0700,1389200
2025-09-12 11:00:00,509.0400,511.2900,508.5600,510.6709,1541197
2025-09-12 11:30:00,510.6800,511.8000,510.1301,511.2350,1382199
2025-09-12 12:00:00,511.2200,512.2300,510.7000,511.8938,1218473
2025-09-12 12:30:00,511.9000,512.5500,511.7000,512.3200,848876
2025-09-12 13:00:00,512.3250,512.4000,509.0050,512.0250,1120652
2025-09-12 13:30:00,512.0400,512.2499,511.1400,511.8500,1096140
2025-09-12 14:00:00,511.8700,511.8790,510.6700,511.3050,1014606
